time_sec,algae,daphnia,beetles,d_stealth,d_bottom_feeding,algae_bottom
0,63,24,3,0.5,0.2999999999999999,51
15,249,79,3,0.49653405317720534,0.2982242632819956,22
30,233,71,3,0.4979882205503659,0.2981911263822278,5
45,132,119,3,0.4963700705232465,0.29497035139530237,0
60,31,120,3,0.5027242247975777,0.2961813563594848,9
75,92,119,3,0.5014480776282628,0.2969712772875801,11
90,246,116,3,0.4990331496604041,0.29738108900847854,26
105,250,105,3,0.5031345894793932,0.29922092842591624,24
120,231,108,3,0.5058494784688589,0.2986572510481448,28
135,250,119,3,0.5049313947286328,0.29280415701585344,30
150,250,100,3,0.49783680999484936,0.2910775483689396,10
165,25,120,4,0.4951569828748001,0.29453444388514755,14
180,125,119,4,0.49819236670564937,0.29808263933661877,20
195,244,119,4,0.4976168710611614,0.2991991441933739,4
210,242,66,4,0.4992607660119704,0.30082329914873546,6
225,83,95,4,0.4992067606639229,0.2985730840779036,13
240,236,42,4,0.5050255514640954,0.30016362113436884,0
255,29,104,4,0.49786809081616185,0.2978382696977481,17
270,89,115,4,0.4953712571674236,0.29388999568301033,20
285,248,61,4,0.5049568827028031,0.2974376616046765,23
301,56,108,4,0.49602244475814106,0.3055453712241436,56
316,34,115,4,0.49492603952954584,0.31884172777719866,17
331,221,120,4,0.4927241003187811,0.319668569999692,14
346,130,118,4,0.4974965043861251,0.3268039360874349,0
361,250,120,4,0.49560833335060334,0.331170456997165,12
376,15,118,4,0.49237369631117667,0.3568265273761013,11
391,219,119,4,0.49822123808631036,0.3776050463430787,12
406,250,119,4,0.5017031296896853,0.3879673044391786,33
421,70,120,4,0.5036077939046574,0.3857612037918074,17
436,250,117,4,0.5016575999709774,0.38339023933034233,6
451,53,120,4,0.5008651512048962,0.3821817980868474,16
466,249,120,4,0.49866152564064,0.37822598362413457,8
481,248,112,4,0.4995248924860494,0.38131833102386237,57
496,35,119,4,0.49686480666164157,0.3861982447182537,35
511,28,43,4,0.49568592458857436,0.38043930251629643,10
526,74,120,4,0.5075706578343192,0.3902213624867539,0
541,247,119,4,0.5049256514103442,0.3898598341795325,22
556,250,119,4,0.5029600377026046,0.38946822638420264,32
571,250,120,4,0.5013303046339376,0.39122453607399416,23
586,15,120,4,0.5016237811776717,0.3921826096086084,6
601,250,118,4,0.5009773820319388,0.39293121322811414,15
617,46,119,4,0.4985885667779853,0.39205863385703976,46
632,250,120,4,0.4970915468284905,0.3909120722954153,18
647,2,118,4,0.4966851004540603,0.3878300395227808,0
662,43,120,4,0.49648896557771255,0.3884092724353839,15
677,25,119,4,0.5000392754403274,0.3869732550602889,15
692,59,117,4,0.49771380918229946,0.3925655706644801,37
707,14,120,4,0.496179205303477,0.3943818324073975,9
722,248,120,4,0.49221416188726597,0.39685529743959524,17
737,247,118,4,0.4920726472605389,0.3938924382311363,3
752,249,120,4,0.48597031968931753,0.3926872573779264,17
767,23,120,4,0.48450583745567,0.3941663317116901,12
782,250,119,4,0.4918240545118656,0.39594514346832,38
797,36,104,4,0.47813131305264983,0.400156632163237,12
812,35,120,4,0.47654181128887557,0.39576008590792255,12
827,219,118,4,0.47818149440253677,0.3961472863996015,10
842,123,119,4,0.4753069108179834,0.3985362334448028,10
857,247,120,4,0.46654716254728373,0.39908469026246124,18
872,250,109,4,0.45484512366976776,0.4049074338072342,0
887,28,100,4,0.4388654300293159,0.41939845098632,28
902,0,96,4,0.42900188842864945,0.4277368001423644,0
918,202,49,4,0.42469288281687884,0.426568278009023,0
933,250,109,4,0.4017910602375614,0.44260815845375234,0
948,51,119,4,0.3961895684866189,0.44888235425474027,4
963,51,45,4,0.37950014673702437,0.45916230079312653,0
978,23,119,4,0.3759171603026178,0.4595323069998776,14
993,42,64,4,0.3768237009102422,0.4646568861533936,0
1008,173,44,4,0.3846574963691775,0.4638472034189451,14
1023,73,120,4,0.3806083409980647,0.46615906082034503,18
1038,236,119,4,0.3767611237936248,0.46741260212177516,5
1053,47,120,4,0.3761447770227421,0.46340056329779034,40
1068,121,118,4,0.36591643494847553,0.4590015736328451,19
1083,224,81,4,0.3578585723122317,0.45999327032440224,25
1098,250,119,4,0.3494704821533275,0.4669015819141311,26
1113,93,120,4,0.3471434363889702,0.4651642879117036,0
1128,24,82,4,0.3505319006632259,0.4642817056617417,9
1143,250,92,4,0.3557426914327365,0.4591542833949597,14
1158,27,118,4,0.3506482728865609,0.463357790115108,20
1173,60,120,4,0.35660788520501774,0.4527348571300041,22
1188,250,117,4,0.35735236074579685,0.4502143216637835,0
1203,250,63,4,0.3671879664302661,0.44602912768623937,10
1219,250,77,4,0.3677113902009917,0.46955676543255037,15
1234,246,83,4,0.3714077611502719,0.4773294340186988,14
1249,75,97,4,0.3700364893416918,0.47669944025437444,11
1264,26,118,4,0.34752569936874916,0.49830341193733874,26
